Zone,Population,Variation,Exportation totale,Importations Totale,Consommation Totale,Production,Dispo intérieure poulet,Exportations poulet,Importations poulet,Consommation poulet,Stabilité politique,Pib (%),TDI,TAS
Sainte-Lucie,180954,2.380715540966224,36000000.0,104000000.0,96000000.0,68000000.0,11000000.0,-241000000.0,10000000.0,10000000.0,0.85,7.0,2.888888888888889,2.6666666666666665
Saint-Kitts-et-Nevis,52045,4.146411759054666,1000000.0,28000000.0,23000000.0,28000000.0,4000000.0,-190000000.0,4000000.0,3000000.0,0.96,2.0,28.0,23.0
Saint-Vincent-et-les Grenadines,109827,1.2674478953262822,37000000.0,82000000.0,67000000.0,170000000.0,8000000.0,-241000000.0,9000000.0,8000000.0,0.85,2.0,2.2162162162162162,1.8108108108108107
Samoa,195352,3.2060076170195364,18000000.0,70000000.0,159000000.0,293000000.0,15000000.0,-213000000.0,17000000.0,13000000.0,0.99,0.0,3.888888888888889,8.833333333333334
Sao Tomé-et-Principe,207089,9.022690727175274,7000000.0,43000000.0,123000000.0,147000000.0,2000000.0,-31000000.0,2000000.0,2000000.0,0.11,8.0,6.142857142857143,17.571428571428573
Sénégal,15419355,13.083316390341876,784000000.0,4051000000.0,6771000000.0,6340000000.0,77000000.0,-16000000.0,0.0,73000000.0,-0.06,10.0,5.167091836734694,8.636479591836734
Serbie,8829628,-1.2512984691993678,4798000000.0,1231000000.0,6582000000.0,17550000000.0,90000000.0,-28000000.0,12000000.0,90000000.0,-0.08,8.0,0.2565652355147978,1.3718215923301376
Sierra Leone,7488423,10.360512487075049,52000000.0,864000000.0,3935000000.0,8263000000.0,30000000.0,-9000000.0,14000000.0,30000000.0,-0.17,-3.0,16.615384615384617,75.67307692307692
Slovaquie,5447900,0.6059399034490265,4725000000.0,3973000000.0,3750000000.0,8036000000.0,74000000.0,38000000.0,63000000.0,76000000.0,1.12,6.0,0.8408465608465608,0.7936507936507936
Slovénie,2076393,0.8943870960906222,1741000000.0,2414000000.0,1902000000.0,2034000000.0,52000000.0,-32000000.0,20000000.0,51000000.0,0.88,8.0,1.3865594485927628,1.0924755887421023
Soudan,40813397,11.318866694678697,776000000.0,4063000000.0,20653000000.0,28852000000.0,69000000.0,-5000000.0,2000000.0,65000000.0,-2.19,36.0,5.235824742268041,26.614690721649485
Sri Lanka,21128032,2.8182085297864026,856000000.0,4562000000.0,10796000000.0,9574000000.0,192000000.0,-27000000.0,0.0,164000000.0,-0.61,6.0,5.329439252336448,12.61214953271028
Suède,9904896,3.6556062779457825,5401000000.0,7939000000.0,9200000000.0,14995000000.0,187000000.0,24000000.0,84000000.0,164000000.0,1.13,4.0,1.4699129790779486,1.703388261433068
Suisse,8455804,5.295676200630956,2030000000.0,4978000000.0,7860000000.0,10086000000.0,133000000.0,-41000000.0,51000000.0,133000000.0,1.4,1.0,2.452216748768473,3.87192118226601
Suriname,570496,5.127292741754539,184000000.0,189000000.0,326000000.0,701000000.0,25000000.0,-111000000.0,18000000.0,18000000.0,0.13,2.0,1.0271739130434783,1.7717391304347827
Tadjikistan,8880268,11.322101990615598,131000000.0,1579000000.0,4802000000.0,6874000000.0,40000000.0,-18000000.0,38000000.0,39000000.0,-1.18,8.0,12.053435114503817,36.656488549618324
Tchad,15016753,14.863419542160683,215000000.0,219000000.0,5154000000.0,7547000000.0,7000000.0,-2000000.0,1000000.0,7000000.0,-1.09,0.0,1.0186046511627906,23.972093023255812
Tchéquie,10641034,0.5614210047632587,8951000000.0,6406000000.0,9251000000.0,22426000000.0,249000000.0,-49000000.0,116000000.0,234000000.0,0.0,11.0,0.7156742263434254,1.0335158082895766
Thaïlande,69209810,1.9850480733872817,67587000000.0,12436000000.0,38386000000.0,231734000000.0,881000000.0,751000000.0,2000000.0,896000000.0,-1.31,10.0,0.18399988163404205,0.5679494577359552
Timor-Leste,1243258,8.868955598918335,6000000.0,184000000.0,483000000.0,414000000.0,5000000.0,0.0,11000000.0,5000000.0,-0.38,-3.0,30.666666666666668,80.5
Togo,7698474,12.011016728769883,284000000.0,909000000.0,3422000000.0,4395000000.0,54000000.0,-21000000.0,16000000.0,54000000.0,-0.35,6.0,3.2007042253521125,12.049295774647888
Trinité-et-Tobago,1384059,2.8351392534566813,176000000.0,732000000.0,704000000.0,332000000.0,76000000.0,-173000000.0,23000000.0,75000000.0,0.09,0.0,4.159090909090909,4.0
Tunisie,11433443,5.129172376159998,1170000000.0,5658000000.0,9881000000.0,10994000000.0,195000000.0,-24000000.0,0.0,195000000.0,-0.9,-4.0,4.835897435897436,8.445299145299145
Turkménistan,5757667,8.506344670506314,63000000.0,1306000000.0,3957000000.0,6138000000.0,27000000.0,-11000000.0,9000000.0,26000000.0,0.25,4.0,20.73015873015873,62.80952380952381
Turquie,81116450,7.970516461211005,18501000000.0,16773000000.0,76182000000.0,151836000000.0,1674000000.0,542000000.0,3000000.0,1674000000.0,-1.25,-1.0,0.9065996432625264,4.117723366304524
Ukraine,44487709,-2.1716042963686766,58297000000.0,2661000000.0,38058000000.0,155516000000.0,1009000000.0,294000000.0,121000000.0,1006000000.0,-0.78,20.0,0.04564557352865499,0.6528294766454534
Uruguay,3436641,1.6779756745031027,7236000000.0,973000000.0,2617000000.0,10656000000.0,33000000.0,-30000000.0,3000000.0,31000000.0,0.8,12.0,0.13446655610834715,0.3616639027086788
Vanuatu,285510,12.612868200763543,159000000.0,49000000.0,184000000.0,529000000.0,3000000.0,-37000000.0,4000000.0,3000000.0,1.16,9.0,0.3081761006289308,1.1572327044025157
Venezuela (République bolivarienne du),29402484,0.14164449507055543,71000000.0,4662000000.0,15699000000.0,15593000000.0,626000000.0,-73000000.0,25000000.0,596000000.0,-1.08,-15.7,65.66197183098592,221.11267605633802
Viet Nam,94600648,5.07261007345319,24182000000.0,25602000000.0,67490000000.0,126883000000.0,1206000000.0,-43000000.0,291000000.0,1166000000.0,0.25,9.0,1.0587213629972707,2.79091886527169
Yémen,27834819,12.07710745307882,277000000.0,6131000000.0,8415000000.0,3413000000.0,246000000.0,-30000000.0,78000000.0,237000000.0,-2.37,-5.0,22.133574007220215,30.379061371841154
Zambie,16853599,14.171744563282887,831000000.0,527000000.0,5998000000.0,12992000000.0,60000000.0,-10000000.0,12000000.0,58000000.0,0.44,20.0,0.6341756919374247,7.217809867629362
Zimbabwe,14236595,7.877199569138546,217000000.0,1078000000.0,4812000000.0,7579000000.0,76000000.0,-17000000.0,6000000.0,67000000.0,-0.67,7.0,4.967741935483871,22.17511520737327
