Zone,Population,Variation,Exportation totale,Importations Totale,Consommation Totale,Production,Dispo intérieure poulet,Exportations poulet,Importations poulet,Consommation poulet,Stabilité politique,Pib (%),TDI,TAS
Cameroun,24566073,12.540905500036578,664000000.0,2418000000.0,16797000000.0,32825000000.0,82000000.0,-12000000.0,0.0,78000000.0,-0.53,7.0,3.641566265060241,25.29668674698795
Canada,36732095,4.927747791134707,66205000000.0,19555000000.0,33945000000.0,129752000000.0,1433000000.0,15000000.0,182000000.0,1433000000.0,1.06,7.0,0.29537044029907106,0.5127256249527982
Chili,18470439,5.793538529322433,8736000000.0,7055000000.0,12486000000.0,25580000000.0,672000000.0,122000000.0,155000000.0,672000000.0,0.36,10.0,0.8075778388278388,1.4292582417582418
Chine - RAS de Hong-Kong,7306322,3.551362778700421,3609000000.0,9647000000.0,5671000000.0,444000000.0,280000000.0,429000000.0,907000000.0,391000000.0,0.92,6.0,2.6730396231643114,1.57134940426711
Chine - RAS de Macao,622585,9.403695880883742,10000000.0,489000000.0,449000000.0,21000000.0,19000000.0,-127000000.0,23000000.0,21000000.0,0.76,11.0,48.9,44.9
"Chine, continentale",1421021791,2.590768856126563,40251000000.0,205903000000.0,1376284000000.0,2147703000000.0,18161000000.0,418000000.0,452000000.0,17518000000.0,-0.54,9.0,5.115475391915729,34.19254180020372
"Chine, Taiwan Province de",23674546,1.383975853222266,1669000000.0,14429000000.0,15162000000.0,13170000000.0,785000000.0,-78000000.0,161000000.0,785000000.0,0.87,6.9,8.645296584781306,9.084481725584181
Chypre,1179678,3.7834053021248217,387000000.0,1115000000.0,804000000.0,850000000.0,38000000.0,-90000000.0,14000000.0,30000000.0,0.56,8.0,2.8811369509043927,2.0775193798449614
Colombie,48909839,5.794582558327373,4803000000.0,11384000000.0,38460000000.0,85126000000.0,1643000000.0,-116000000.0,78000000.0,1565000000.0,-1.29,10.0,2.3701853008536333,8.007495315427857
Congo,5110695,11.749791368884274,9000000.0,752000000.0,3128000000.0,3494000000.0,110000000.0,-71000000.0,104000000.0,110000000.0,-0.48,8.0,83.55555555555556,347.55555555555554
Costa Rica,4949954,5.292049178638827,7413000000.0,2669000000.0,3431000000.0,15285000000.0,134000000.0,-63000000.0,17000000.0,131000000.0,0.68,2.0,0.3600431674086065,0.4628355591528396
